글 번호,유저번호,유저닉네임,글내용,글출처,글공감,글신고
1,4,홍길동,"수고했어 오늘도 아무도 너의 슬픔에 관심 없대도 난 늘 응원해, 수고했어 오늘도",수고했어 오늘도 - 옥상달빛,57,17
2,4,홍길동,"너의 꿈은 때로 비교할 데 없는 위안, 외로워도 다시 한 번 걷게 해주는",꿈 - 김윤아,553,68
3,4,홍길동,가보는 거야 달려도 볼까 어디로든 어떻게든,도망가자 - 선우정아,688,24
4,4,홍길동,말했잖아요 어두워져야 빛나는 걸 볼 수 있다고.  나의 노래가 끝날 때쯤엔 햇살 눈부시겠죠,달의 노래 - 예성,356,27
5,6,박길동,"간절한 이 그리움들을, 사무쳐오는 이 연정들을, 달빛에 실어 당신께 보냅니다",달이 떴다고 전화를 주시다니요 - 김용택 ,690,39
6,6,박길동,"풀 한포기 없는 이 길을 걷는 것은 담 저 쪽에 내가 남아 있는 까닭이고, 내가 사는 것은, 다만 잃은 것을 찾는 까닭입니다.",길 - 윤동주,7,1
7,6,박길동,자세히 보아야 예쁘다 오래 보아야 사랑스럽다 너도 그렇다,풀 꽃 - 나태주,970,74
8,6,박길동,어느새 빗물이 내 발목에 고이고 참았던 눈물이 내 눈가에 고이고,우산 - 에픽하이,261,94
9,6,박길동,이렇게라도 일어서 보려고 하면 내가 날 찾아줄까 봐,나의 사춘기에게 - 볼빨간 사춘기,396,43
10,6,박길동,Our eyes are closed but we know when the sun is near us We'll be in love forever,Summer - The Volunteers,685,89
11,6,박길동,벽에 기대어 앉으며 짐을 내려놓으니 한 줌의 희망이 그토록 무거웠구나,잠 - 나이트오프,160,0
12,6,박길동,항상 너의 곁에서 너와 함께 울어줄게 언제나 네 곁에 있을게 이렇게 언제나,voice - 스탠딩에그,439,17
13,7,김길동,넌 힘들겠지만 오늘도 너만 혼자라고 느껴도 항상 나의 곁엔 니가 있단걸 말하지 않아도 알수있어,항상 너의 곁에 내가 있을게 - 스탠딩에그,344,88
14,7,김길동,언젠가 만날 우리 가장 행복할 그날 첫눈처럼 내가 가겠다,첫눈처럼 너에게 가겠다 - 에일리,944,42
15,7,김길동,항상 평범했던 일상도 특별해지는 이 순간 깊은 사랑에 빠진 순간 ,선물 - 멜로망스,19,10
16,7,김길동,언젠가 먼 훗날에 저 넓고 거칠은 세상 끝 바다로 갈거라고,달팽이 - 이적,689,48
17,7,김길동,널 위해 노래할게 조금만 더 날 기다려줘,Reset - 토이,472,89
18,7,김길동,울고 싶을 때 울어요 슬픔들을 애써 참지 말아요,only one - B1A4,594,45
19,7,김길동,아무것도 바꿀 필요 없이 예쁘다고 지금 그 모습 그대로 완벽하다고,딱 좋아 - 갓세븐,222,88
20,7,김길동,그래 다시 가다보면 걸어 걸어 걸어가다 보면 어느날 그모든 일들을 감사해하겠지,거꾸로 흐르는 강물을 거슬러 오르는 저 힘찬 연어들처럼 - 홍진호,427,11
